District,Poly
Liverpool,"53.47512284778856,-2.9222635287964107:53.47274408093905,-2.9566291484274614:53.443009495320126,-2.975448416320656:53.43825196162109,-3.008995806912872:53.390081932918434,-2.9885400809420086:53.33418091195485,-2.8780791606993454:53.331802145105335,-2.8265307312527694:53.34785882133956,-2.8191666699032583:53.34726412962718,-2.8404406249129566:53.37878279038324,-2.855986976650813:53.38235094065751,-2.8224395860585965:53.39959700031649,-2.8371677087576184:53.406733300865035,-2.8903525962818635:53.41803244340022,-2.8658057251168274:53.450145795868664,-2.868260412233331:53.47512284778856,-2.9222635287964107"
Islington,"51.5649730676287,-0.10428271905024822:51.56913590961535,-0.14273948387547186:51.530480948310746,-0.12228375790460788:51.51858711406317,-0.08628168019588767:51.53285971516026,-0.09691865770073704:51.54772700796972,-0.07646293172987395:51.5649730676287,-0.10428271905024822"
Nottingham,"52.948820682333555,-1.0861575656516989:52.99699071103622,-1.1532523468361306:53.006505778434274,-1.143433598370116:53.01839961268185,-1.1827085922341745:53.00828985357141,-1.2252565022535702:52.986880951925784,-1.2039825472438723:52.984502185076266,-1.246530457263269:52.96785081712967,-1.2318023345642466:52.949415374045934,-1.2448939991855994:52.9173020215775,-1.1827085922341745:52.9006506536309,-1.21789244090406:52.888756819383325,-1.1769809889623328:52.90005596191852,-1.1589799501079723:52.93692684808599,-1.1524341177972959:52.948820682333555,-1.0861575656516989"
Hammersmith and Fulham,"51.530480948310746,-0.2286535329530981:51.52453403118696,-0.2523821750793003:51.48944722015663,-0.24583634276862387:51.46625424337386,-0.18610562293370236:51.477553385909054,-0.17955979062302596:51.530480948310746,-0.2286535329530981"
Newcastle upon Tyne,"55.0647337949764,-1.63764393782618:55.07960108778586,-1.6474626862921946:55.070680712100184,-1.7047387190106118:55.052839960728825,-1.7104663222824543:55.04273020161839,-1.694919970544598:55.02429475853466,-1.7505595451853466:54.9898026392167,-1.7759246453892175:54.96839373757108,-1.720285070748468:54.96006805359777,-1.6343710216708418:54.976124729831994,-1.59264134069028:54.96423089558442,-1.5378199950883653:54.98385572209291,-1.530455933738855:54.992181406066216,-1.5631850952922361:55.00526462373854,-1.5582757210592293:55.01061684914995,-1.600823631078625:55.03916205134412,-1.59264134069028:55.04154081819363,-1.638462166865014:55.0647337949764,-1.63764393782618"
Bournemouth,"50.76332863934243,-1.8732939010105278:50.780574699001406,-1.8962043140978952:50.75559764708151,-1.9379339950784562:50.741919737696804,-1.8912949398648875:50.70921169351598,-1.901113688330902:50.720510836051176,-1.8299277619522973:50.71099576865312,-1.748923087107677:50.721700219475935,-1.740740796719332:50.73062059516161,-1.7939256842435771:50.77343839845287,-1.8512017169619952:50.76332863934243,-1.8732939010105278"
Brighton and Hove,"50.88642982380479,-0.1353754225259607:50.89059266579144,-0.17792333254535642:50.86858907243343,-0.18774208101137102:50.878104139831485,-0.22701707487542944:50.86323684702202,-0.2450181137297891:50.82755534427931,-0.21638009737058006:50.799010142085145,-0.03882439594348508:50.815066818319366,-0.01591398285611767:50.821608427155525,-0.046188457292995366:50.841233253664015,-0.037187937865815535:50.841233253664015,-0.07319001557453575:50.87334660613246,-0.08464522211821901:50.88642982380479,-0.1353754225259607"
Croydon,"51.419868289808335,-0.07891761884637738:51.42343644008261,-0.11246500943859328:51.40916383898552,-0.13210250637062249:51.34553182576102,-0.11655615463276625:51.338990216924856,-0.14764885810847872:51.301524639045006,-0.1550129194579899:51.28725203794792,-0.11819261271043491:51.338395525212476,-0.03800616690465031:51.33006984123918,0.0029052850370767658:51.379429253366595,-0.026550960360966158:51.419868289808335,-0.07891761884637738"
Haringey,"51.60541210407044,-0.04127908305998851:51.611359021194225,-0.1353754225259607:51.60541210407044,-0.15664937753565855:51.572704059889624,-0.1713775002346809:51.56437837591632,-0.10510094808908299:51.578056285301024,-0.060916579992017716:51.60541210407044,-0.04127908305998851"
Newham,"51.54415885769545,0.0683636081438399:51.56378368420394,0.05036256928948024:51.551889849956375,-0.01918689901145587:51.53642786543453,-0.020823357089124528:51.530480948310746,0.0020870559982419934:51.51977649748793,-0.008549921506606495:51.500746362691814,0.017633407736099116:51.49896228755468,0.06918183718267468:51.515018963788904,0.09700162450304894:51.54415885769545,0.0683636081438399"
Wolverhampton,"52.6205508571006,-2.0508496024376237:52.61163048141493,-2.0811240768745014:52.63482345819769,-2.1015798028453654:52.637796916759584,-2.131854277282243:52.6068729477159,-2.1964943713501723:52.58843750463216,-2.189130310000661:52.58665342949503,-2.207131348855021:52.57475959524746,-2.1801297905734813:52.55454007702659,-2.1752204163404736:52.54680908476566,-2.061486579942472:52.57238082839794,-2.050031373398789:52.58605873778265,-2.077851160719163:52.6205508571006,-2.0508496024376237"
Ipswich,"52.08889646623419,1.1574264588326155:52.08830177452181,1.1091509455413782:52.06154064746478,1.12224261016273:52.034779520407746,1.1132420907355502:52.038942362394394,1.1574264588326155:52.05024150492959,1.1582446878714503:52.051430888354346,1.1418801070947593:52.055593730340995,1.1345160457452481:52.057377805478126,1.1345160457452481:52.052025580066726,1.1418801070947593:52.052025580066726,1.154971771716112:52.04905212150483,1.1606993749879537:52.03180606184585,1.159881145949119:52.021696302735414,1.1787004138423134:52.02288568616017,1.2196118657840413:52.037158287257256,1.2016108269296808:52.06748756458856,1.2032472850073503:52.08889646623419,1.1574264588326155"
Leicester,"52.65504297641856,-1.048519029865309:52.66931557751565,-1.0747023591080147:52.66515273552899,-1.1287054756710946:52.69131917087365,-1.1573434920303036:52.676451878064185,-1.1794356760788363:52.640175683609094,-1.1908908826225195:52.63422876648531,-1.2162559828263904:52.612819864839686,-1.1655257824186487:52.592600346618816,-1.1745263018458285:52.58070651237124,-1.1532523468361306:52.62471369908725,-1.0550648621759855:52.65504297641856,-1.048519029865309"
Southampton,"50.94768307017978,-1.3799017905932986:50.95006183702929,-1.4494512588942348:50.92508478510939,-1.4789075042922786:50.88286167353051,-1.3954481423311549:50.90664934202566,-1.3880840809816446:50.91021749229993,-1.3774471034767952:50.914975025998956,-1.3897205390593133:50.918543176273225,-1.390538768098148:50.92151663483512,-1.3799017905932986:50.92924762709604,-1.3815382486709682:50.934599852507446,-1.3799017905932986:50.936383927644584,-1.374174187321457:50.9221113265475,-1.3766288744379604:50.91794848456085,-1.3872658519428098:50.912001567437066,-1.3717195002049536:50.88940328236668,-1.3831747067486369:50.879888214968624,-1.3651736678942772:50.90070242490187,-1.3218075288360467:50.94114146134361,-1.3545366903894278:50.94768307017978,-1.3799017905932986"
Kensington and Chelsea,"51.52810218146123,-0.21638009737058006:51.52096588091269,-0.2286535329530981:51.477553385909054,-0.18365093581719893:51.48528437816998,-0.15010354522498215:51.50253043782895,-0.1582858356133281:51.497772904129924,-0.17955979062302596:51.52810218146123,-0.21638009737058006"
Rushcliffe,"52.96071451658113,-0.8202331280304724:52.96785081712967,-0.8357794797683287:52.985691568501025,-0.8153237537974647:53.00115355302287,-0.8226878151469759:53.006505778434274,-0.8799638478653939:53.03564567234083,-0.9102383223022716:52.986286260213404,-0.9756966454090357:52.985691568501025,-1.0346091362051224:52.95119944918307,-1.0411549685157988:52.93692684808599,-1.1524341177972959:52.889351511095704,-1.1745263018458285:52.90421880390517,-1.213801295709887:52.891730277945214,-1.2440757701467646:52.87983644369765,-1.2399846249525925:52.871510759724345,-1.2702590993894702:52.83345049013212,-1.2743502445836432:52.80431059622558,-1.2555309766904488:52.78944330341611,-1.1982549439720307:52.81977258074741,-1.1172502691274113:52.81798850561028,-0.9887883100303876:52.84058679068066,-0.9773331034867043:52.866158534312945,-0.9282393611566322:52.87686298513575,-0.9405127967391502:52.905408187329925,-0.8578716638168613:52.96071451658113,-0.8202331280304724"
Hackney,"51.578056285301024,-0.060916579992017716:51.5649730676287,-0.10428271905024822:51.54772700796972,-0.07646293172987395:51.53285971516026,-0.09691865770073704:51.52037118920031,-0.08546345115705378:51.54356416598307,-0.016732211894952442:51.578056285301024,-0.060916579992017716"
Tower Hamlets,"51.54356416598307,-0.016732211894952442:51.52988625659837,-0.0748264736522044:51.50788266324036,-0.07973584788521215:51.50907204666512,-0.02982387651630436:51.48885252844425,-0.02409627324446273:51.48825783673187,-0.004458776312433521:51.50134105440419,-0.009368150545441267:51.50788266324036,0.009451117347753168:51.54356416598307,-0.016732211894952442"
"Bristol, City of","51.43235681576829,-2.5237859868839885:51.44365595830348,-2.5270589030393267:51.44662941686537,-2.539332338621845:51.46209140138721,-2.512330780340305:51.493610062143276,-2.5156036964956434:51.50134105440419,-2.5884260809519173:51.517397730638415,-2.5810620196024066:51.513829580364145,-2.654702633097515:51.54415885769545,-2.67352190099071:51.50847735495274,-2.7185244981266097:51.4817162278957,-2.680885962340221:51.480526844470944,-2.675158359068379:51.48706845330711,-2.666157839641199:51.48766314501949,-2.6612484654081916:51.48112153618332,-2.6481568007868392:51.473985235634785,-2.6489750298256736:51.46744362679862,-2.6326104490489826:51.44662941686537,-2.6219734715441336:51.45079225885202,-2.5540604613208666:51.44544003344061,-2.6219734715441336:51.46684893508624,-2.6342469071266517:51.468038318511,-2.6367015942431555:51.47041708536051,-2.6457021136703354:51.47220116049765,-2.6489750298256736:51.47933746104619,-2.6522479459810118:51.48587906988235,-2.6604302363693573:51.48706845330711,-2.6637031525246955:51.48409499474522,-2.666157839641199:51.48290561132046,-2.6669760686800337:51.48231091960808,-2.6669760686800337:51.48112153618332,-2.6686125267577028:51.48231091960808,-2.667794297718868:51.48112153618332,-2.670248984835372:51.47993215275857,-2.6759765881072135:51.480526844470944,-2.6849771075343933:51.48231091960808,-2.684158878495559:51.48647376159473,-2.6915229398450697:51.48647376159473,-2.6923411688839045:51.48706845330711,-2.6915229398450697:51.48885252844425,-2.694795856000408:51.493015370430896,-2.7005234592722496:51.493015370430896,-2.7013416883110843:51.493015370430896,-2.7005234592722496:51.494204753855655,-2.7021599173499187:51.50015167097944,-2.7177062690877754:51.480526844470944,-2.6849771075343933:51.47993215275857,-2.6759765881072135:51.48231091960808,-2.667794297718868:51.48112153618332,-2.6686125267577028:51.48587906988235,-2.6612484654081916:51.473390543922406,-2.6514297169421774:51.47041708536051,-2.6457021136703354:51.468038318511,-2.6367015942431555:51.46625424337386,-2.6342469071266517:51.403216921861734,-2.6334286780878173:51.399648771587465,-2.5704250420975576:51.41094791412266,-2.536059422466507:51.4347355826178,-2.5262406740004923:51.43235681576829,-2.5237859868839885:51.43116743234353,-2.52214952880632:51.42878866549401,-2.510694322262636:51.43235681576829,-2.5237859868839885"
Lewisham,"51.493015370430896,-0.03227856363280868:51.48766314501949,-0.054370747681341314:51.45495510083867,-0.04127908305998851:51.4264098986445,-0.07400824461336963:51.41332668097217,-0.01018637958427604:51.42462582350736,0.03890736274579698:51.456739175975805,0.011087575425422713:51.473985235634785,0.018451636774933:51.468038318511,-0.015095753817282898:51.493015370430896,-0.03227856363280868"
Sheffield,"53.47155469751429,-1.4551788621660773:53.486421990323755,-1.4944538560301348:53.43825196162109,-1.5329106208553585:53.445982953882016,-1.5509116597097181:53.45787678812959,-1.5394564531660349:53.47869099806284,-1.5492752016320495:53.49296359915992,-1.6065512343504675:53.503073358270356,-1.7031022609329431:53.4769069229257,-1.7391043386416634:53.48106976491235,-1.8012897455930883:53.463229013540996,-1.7464683999911736:53.42100590196212,-1.7399225676804972:53.393055391480324,-1.654826747641705:53.36688895613567,-1.6638272670688847:53.34607474620242,-1.5901866535737765:53.34310128764053,-1.6122788376223092:53.31634016058349,-1.6278251893601654:53.3216923859949,-1.5852772793407688:53.30444632633592,-1.5370017660495314:53.34191190421577,-1.410994494069012:53.33477560366723,-1.386447622903975:53.31752954400825,-1.386447622903975:53.31634016058349,-1.3365356515350681:53.349048204764316,-1.328353361146723:53.38354032408227,-1.3913569971369828:53.3936500831927,-1.3758106453991266:53.41981651853736,-1.3938116842534862:53.42338466881163,-1.3799017905932986:53.42041121024974,-1.4085398069525077:53.47155469751429,-1.4551788621660773"
Luton,"51.91584117793204,-0.38575350840933087:51.92297747848058,-0.4855774511471447:51.90751549395874,-0.4823045349918065:51.900379193410195,-0.5060331771180078:51.85458793155705,-0.4217555861180502:51.87599683320268,-0.3505696597394454:51.91584117793204,-0.38575350840933087"
Oxford,"51.786198384633515,-1.2530762895739453:51.79630814374395,-1.283350764010823:51.77252047524881,-1.303806489981687:51.748732806753665,-1.2890783672826647:51.71126722887382,-1.221983586098232:51.71483537914809,-1.1892544245448509:51.73327082223182,-1.176162759923498:51.73624428079372,-1.1941637987778577:51.75705849072697,-1.1941637987778577:51.765978866412645,-1.180253905117671:51.786198384633515,-1.2530762895739453"
Derby,"52.966066741992535,-1.4748163590981056:52.966066741992535,-1.4952720850689696:52.93752153979837,-1.5083637496903224:52.9226542469889,-1.5525481177873877:52.906002879042305,-1.555002804903891:52.869726684587214,-1.4936356269913:52.864969150888186,-1.42326792965153:52.925627705550795,-1.3831747067486369:52.93573746466123,-1.424086158690364:52.95001006575831,-1.4093580359913425:52.95060475747069,-1.4682705267874292:52.966066741992535,-1.4748163590981056"
"Kingston upon Hull, City of","53.79387760562346,-0.3587519501277905:53.80517674815865,-0.3620248662831287:53.813502432131955,-0.31620404010839476:53.78198377137589,-0.2785655043220059:53.78138907966351,-0.2523821750793003:53.737976584659876,-0.24338165565212044:53.738571276372255,-0.3309321628074162:53.74451819349604,-0.32684101761324325:53.75046511061983,-0.3325686208850849:53.737976584659876,-0.3325686208850849:53.719541141576144,-0.41930089900154677:53.74808634377031,-0.402118089186021:53.75046511061983,-0.42257381515688497:53.76057486973026,-0.418482669962712:53.76949524541594,-0.3882081955258343:53.79090414706157,-0.3922993407200064:53.79387760562346,-0.3587519501277905"
Stoke-on-Trent,"53.08976261816727,-2.180948019612315:53.07311125022067,-2.239042281369568:53.03148283035417,-2.206313119816186:53.004127011584764,-2.21776832635987:52.95001006575831,-2.1915849971171646:52.95357821603258,-2.1629469807579556:52.97617650110297,-2.1457641709424307:52.9559569828821,-2.1220355288162285:52.966661433704914,-2.0811240768745014:52.99699071103622,-2.0884881382240126:53.018994304394226,-2.1228537578550633:53.06478556624737,-2.1253084449715667:53.08976261816727,-2.180948019612315"
Blackburn with Darwen,"53.78079438795113,-2.465691725126736:53.74392350178366,-2.564697438825716:53.70526854047906,-2.5426052547771834:53.69218532280673,-2.5156036964956434:53.664829504037314,-2.531968277272334:53.63152676814412,-2.5205130707286507:53.61665947533466,-2.4730557864762472:53.6457993692412,-2.438690166845196:53.623795775883195,-2.421507357029671:53.63152676814412,-2.3699589275830952:53.6874277891077,-2.3740500727772673:53.718946449863765,-2.4337807926121893:53.76652178685405,-2.4460542281947073:53.78079438795113,-2.465691725126736"
Middlesbrough,"54.58006004938789,-1.2039825472438723:54.55389361404323,-1.1663440114574835:54.54437854664518,-1.1990731730108655:54.51464396102625,-1.1377059950982744:54.50453420191582,-1.1426153693312822:54.51821211130052,-1.2825325349719883:54.55627238089275,-1.2702590993894702:54.565192756578426,-1.2817143059331544:54.569355598565075,-1.2620768090011252:54.588980425073565,-1.2555309766904488:54.58006004938789,-1.2039825472438723"
Watford,"51.692831785790084,-0.37593475994331627:51.70175216147576,-0.402118089186021:51.68272202667965,-0.4315743345840648:51.64228299023791,-0.43075610554523003:51.63752545653888,-0.3775712180209849:51.692831785790084,-0.37593475994331627"
Burnley,"53.80577143987103,-2.112216780350214:53.82361219124239,-2.152310003253107:53.80755551500817,-2.2611344654181007:53.80815020672055,-2.2946818560103166:53.82123342439287,-2.3020459173598278:53.795066989048216,-2.34213914026272:53.74689696034556,-2.314319352942346:53.74213942664653,-2.2709532138841153:53.755222644318856,-2.251315716952086:53.72310929185041,-2.173583958262805:53.75165449404459,-2.1310360482434083:53.78019969623875,-2.13676365151525:53.80577143987103,-2.112216780350214"
Sandwell,"52.54740377647804,-1.9182964981464279:52.56881267812367,-2.0107563795347305:52.54978254332756,-2.0737600155249902:52.52421079969528,-2.0794876187968327:52.51231696544771,-2.0573954347483:52.48733991352781,-2.0639412670589765:52.4683097787317,-2.0974886576511924:52.461768169895535,-2.0590318928259688:52.480798304691646,-2.0230298151172486:52.462362861607915,-2.013211066651235:52.46712039530694,-1.9772089889425146:52.498639056063006,-1.9379339950784562:52.50458597318679,-1.963299095282327:52.53134710024382,-1.9600261791269888:52.53134710024382,-1.9297517046901111:52.54561970134091,-1.9330246208454493:52.54740377647804,-1.9182964981464279"
